experiment,job,metric,metric_display,mean,std,num_seeds,complete
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,flowers_test_accuracy,Flowers Lin.,0.2483660430,0.0518774837,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.2518024743,0.0083248056,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.4193268120,0.0064272070,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.3600434363,0.0071463566,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,pets_test_accuracy,Pets Lin.,0.3134057820,0.0166035481,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,petsknn_knn_test_accuracy,Pets kNN,0.1857000142,0.0086461585,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,training_time,Training time (h),31.3143157959,3.8333053589,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,aircraft_test_accuracy,Aircraft Lin.,0.1635672847,0.0041872431,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1000799835,0.0017374677,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,cars_test_accuracy,Cars Lin.,0.1058006510,0.0117260615,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,carsknn_knn_test_accuracy,Cars kNN,0.0503067486,0.0066265242,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3420333366,0.0048561499,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4157333374,0.0133906224,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6527333260,0.0042742224,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.6889666716,0.0061645952,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,flowers_test_accuracy,Flowers Lin.,0.3073593179,0.0450923544,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.2612466216,0.0083591988,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.4331597189,0.0058794431,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.3585069378,0.0033759485,3,True
ablations/cycles/cycles_2,jobs/ablations/cycles/cycles_2.sh,pets_test_accuracy,Pets Lin.,0.3324275414,0.0089669247,3,True
